,director_and_writers,rating,title,year
0,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman",9.2,Um Sonho de Liberdade,1994
1,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino",9.2,O Poderoso Chefão,1972
2,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro",9.0,O Poderoso Chefão II,1974
3,"Christopher Nolan (dir.), Christian Bale, Heath Ledger",9.0,Batman: O Cavaleiro das Trevas,2008
4,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb",8.9,12 Homens e uma Sentença,1957
5,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes",8.9,A Lista de Schindler,1993
6,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen",8.9,O Senhor dos Anéis: O Retorno do Rei,2003
7,"Quentin Tarantino (dir.), John Travolta, Uma Thurman",8.9,Pulp Fiction: Tempo de Violência,1994
8,"Sergio Leone (dir.), Clint Eastwood, Eli Wallach",8.8,Três Homens em Conflito,1966
9,"David Fincher (dir.), Brad Pitt, Edward Norton",8.8,Clube da Luta,1999
10,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.8,O Senhor dos Anéis: A Sociedade do Anel,2001
11,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright",8.7,Forrest Gump: O Contador de Histórias,1994
12,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford",8.7,O Império Contra-Ataca,1980
13,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt",8.7,A Origem,2010
14,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.7,O Senhor dos Anéis: As Duas Torres,2002
15,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher",8.7,Um Estranho no Ninho,1975
16,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta",8.7,Os Bons Companheiros,1990
17,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne",8.6,Matrix,1999
18,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura",8.6,Os Sete Samurais,1954
19,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino",8.6,Cidade de Deus,2002
20,"George Lucas (dir.), Mark Hamill, Harrison Ford",8.6,Guerra nas Estrelas,1977
21,"David Fincher (dir.), Morgan Freeman, Brad Pitt",8.6,Seven: Os Sete Crimes Capitais,1995
22,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins",8.6,O Silêncio dos Inocentes,1991
23,"Frank Capra (dir.), James Stewart, Donna Reed",8.6,A Felicidade Não Se Compra,1946
24,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi",8.6,A Vida é Bela,1997
25,"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne",8.5,Os Suspeitos,1995
26,"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette",8.5,A Viagem de Chihiro,2001
27,"Steven Spielberg (dir.), Tom Hanks, Matt Damon",8.5,O Resgate do Soldado Ryan,1998
28,"Luc Besson (dir.), Jean Reno, Gary Oldman",8.5,O Profissional,1994
29,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth",8.5,Vingadores: Guerra Infinita,2018
30,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan",8.5,À Espera de um Milagre,1999
31,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway",8.5,Interestelar,2014
32,"Tony Kaye (dir.), Edward Norton, Edward Furlong",8.5,A Outra História Americana,1998
33,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh",8.5,Psicose,1960
34,"Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill",8.5,Luzes da Cidade,1931
35,"Sergio Leone (dir.), Henry Fonda, Charles Bronson",8.5,Era uma Vez no Oeste,1968
36,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman",8.5,Casablanca,1942
37,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",8.5,Os Tempos Modernos,1936
38,"Olivier Nakache (dir.), François Cluzet, Omar Sy",8.5,Intocáveis,2011
39,"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann",8.5,O Pianista,2002
40,"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon",8.5,Os Infiltrados,2006
41,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",8.5,O Exterminador do Futuro 2: O Julgamento Final,1991
42,"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd",8.5,De Volta para o Futuro,1985
43,"Alfred Hitchcock (dir.), James Stewart, Grace Kelly",8.5,Janela Indiscreta,1954
44,"Steven Spielberg (dir.), Harrison Ford, Karen Allen",8.5,Os Caçadores da Arca Perdida,1981
45,"Damien Chazelle (dir.), Miles Teller, J.K. Simmons",8.5,Whiplash: Em Busca da Perfeição,2014
46,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix",8.5,Gladiador,2000
47,"Roger Allers (dir.), Matthew Broderick, Jeremy Irons",8.5,O Rei Leão,1994
48,"Christopher Nolan (dir.), Christian Bale, Hugh Jackman",8.5,O Grande Truque,2006
49,"Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss",8.4,Amnésia,2000
50,"Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando",8.4,Apocalypse Now,1979
51,"Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt",8.4,"Alien, o Oitavo Passageiro",1979
52,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",8.4,O Grande Ditador,1940
53,"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale",8.4,Cinema Paradiso,1988
54,"Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi",8.4,Túmulo dos Vagalumes,1988
55,"Billy Wilder (dir.), William Holden, Gloria Swanson",8.4,Crepúsculo dos Deuses,1950
56,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott",8.4,Dr. Fantástico,1964
57,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck",8.4,A Vida dos Outros,2006
58,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker",8.4,Glória Feita de Sangue,1957
59,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall",8.4,O Iluminado,1980
60,"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz",8.4,Django Livre,2012
61,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight",8.4,WALL·E,2008
62,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal",8.4,Viva - A Vida é uma Festa,2017
63,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida",8.4,Princesa Mononoke,1997
64,"Sam Mendes (dir.), Kevin Spacey, Annette Bening",8.4,Beleza Americana,1999
65,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich",8.4,Testemunha de Acusação,1957
66,"Christopher Nolan (dir.), Christian Bale, Tom Hardy",8.4,Batman: O Cavaleiro das Trevas Ressurge,2012
67,"Chan-wook Park (dir.), Min-sik Choi, Ji-tae Yu",8.4,Oldboy,2003
68,"James Cameron (dir.), Sigourney Weaver, Michael Biehn",8.3,"Aliens, o Resgate",1986
69,"Sergio Leone (dir.), Robert De Niro, James Woods",8.3,Era uma Vez na América,1984
70,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer",8.3,O Barco: Inferno no Mar,1981
71,"Orson Welles (dir.), Orson Welles, Joseph Cotten",8.3,Cidadão Kane,1941
72,"Alfred Hitchcock (dir.), James Stewart, Kim Novak",8.3,Um Corpo Que Cai,1958
73,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint",8.3,Intriga Internacional,1959
74,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau",8.3,Coração Valente,1995
75,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth",8.3,Cães de Aluguel,1992
76,"Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi",8.3,Your Name.,2016
77,"Richard Marquand (dir.), Mark Hamill, Harrison Ford",8.3,O Retorno de Jedi,1983
78,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann",8.3,"M, O Vampiro de Dusseldorf",1931
